"product_id";"product_name";"quantity";"product_ean";"product_sku";"product_category_name";"price";"product_tax";"weight";"description";"additional_desc_1";"additional_desc_2";"additional_desc_3";"additional_desc_4";"photo";"additional_photo_1";"additional_photo_2";"additional_photo_3";"additional_photo_4";"additional_photo_5";"additional_photo_6";"additional_photo_7";"additional_photo_8";"additional_photo_9";"additional_photo_10";"additional_photo_11";"additional_photo_12";"additional_photo_13";"additional_photo_14";"additional_photo_15";"product_manufacturer_name"
"50616353";"Stelaż rama wkład do łóżka pod materac premium 160x200 płaski";1000;"5905342269069";"PL160pro";"Płaski Premium";269.00;23%;16;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1><p class=""MsoNormal"" style=""line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><b><span style=""font-size:18.0pt;font-family:"" open="""" sans"",sans-serif;mso-fareast-font-family:="""" ""times="""" new="""" roman"";color:#222222;mso-font-kerning:18.0pt;mso-fareast-language:="""" pl""="""">Stelaż do łóżka pod materac elastyczny serii premium płaski 159x199cm firmy Moledo<o:p></o:p></span></b></p>

<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:normal""><span style=""font-size:12.0pt;font-family:"" times="""" new="""" roman"",serif;="""" mso-fareast-font-family:""times="""" roman"";mso-fareast-language:pl""="""">Stelaż
wykonany jest z 40 sprężystych (giętych) listew brzozowych, 80&nbsp; uchwytów
zapobiegających skrzypieniu oraz mocnej poziomej ramy&nbsp; ze sklejki
najlepszych polskich producentów. Cechuje go niezwykła wytrzymałość, trwałość i
wysoka elastyczność. Stelaż dzięki swoim właściwościom jest odpowiedni dla
materacy sprężynowych oraz piankowych. Zwiększa komfort snu, daje optymalne
podparcie i zapewnia odpowiednią wentylację powietrza dla materaca</span></p></h1><p><b><br></b></p><p><b>Zalety</b><b>:</b></p>
<p>- Wkłady elastyczne wydłużają żywotność materaca nawet o 25%</p>
<p>- Profilowane listewki pozwalają lepiej pracować każdemu położonemu na nim materacowi dzięki zwiększonej elastyczności stelaża</p>
<p>- Stelaż zapewnia odpowiednią cyrkulację powietrza dla materaca</p><p>- <b>Bardzo niski stelaż, pasuje do wąskich boków łóżka&nbsp; czy metalowych konstrukcji&nbsp; oraz na podłogę</b></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><b><span style=""font-family:"" open=""""><br></span></b></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><b><span style=""font-family:"" open="""">Dane techniczne rozmiaru</span></b><span style=""font-family:
"" open=""""> 160x200 :</span></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-family:"" open="""">·Długość&nbsp;<b>1990</b>&nbsp;mm</span></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-family:"" open="""">·Szerokość <b>1590&nbsp;</b>mm&nbsp;</span></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-family:"" open="""">·wysokości&nbsp;<b>36</b>&nbsp;mm</span></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-family:"" open="""">·Listwy gięte 54mm x 8mm&nbsp; profilowana sklejka</span></p><p style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-family:"" open="""">·Odstępy między listwami 38mm</span></p><p style=""color: rgb(34, 34, 34); font-family: "" open="""">




<style>
 .gallery_image_4 img,  {
     width: 500px;
     margin-bottom: 20px;
 }
 </style>








</p><span style=""font-family:"" open="""">-<b>Dostępny&nbsp;każdy rozmiar</b></span><p></p><p><b><br></b></p><h1><p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
line-height:normal""></p></h1>
            </section>
        </div>
        </section>";"Cechuje go niezwykła wytrzymałość, trwałość i wysoka elastyczność. Stelaż dzięki swoim właściwościom jest odpowiedni dla materacy sprężynowych oraz piankowych.";"<p style=""color: rgb(34, 34, 34); font-family: "" open="""" sans"",="""" sans-serif;="""" font-size:="""" 16px;""=""""><br></p><div class=""mp4t_16_s mryx_16_s mr3m_1 mli2_1 mh85_56 mh85_0_l""><div class=""mgn2_16 _0d3bd_5pK0q""><br><p><b><br></b></p></div></div>";"";"";"https://upload.cdn.baselinker.com/products/2000076/69f03c49d25db0f91e76354cd2a155ba.png";"https://upload.cdn.baselinker.com/products/2000076/63242473160db7029be3bd389a5c31d1.png";"https://upload.cdn.baselinker.com/products/2000076/b2e9088fb6022de1af169ac5f6e04059.png";"https://upload.cdn.baselinker.com/products/2000076/6fcaa54e2f1b0d3f845b9fd4e8f31e58.png";"https://upload.cdn.baselinker.com/products/2000076/e6adb4c2726644d7e49602e0686ad41c.png";"";"";"";"";"";"";"";"";"";"";"";""
"50733659";"Narożnik plastikowy do stelaża metalowego";1000;"5905342269007";"Nar1P";"Inne";10.00;23%;1;"Narożnik plastikowy do stelaża metalowego - solidny element, idealny do metalowej ramy łóżka. Pasuje do profilu 30x40, kompatybilny z metalowymi stelażami Moledo. Posiada precyzyjne wymiary: szerokość wkładu 27 mm, wysokość wkładu 36 mm, otwór na wkręta 22 mm, oraz głębokość wkładu 38 mm. Udoskonal swój stelaż łóżka dzięki tej wysokiej jakości części!";"Narożnik do metalowej ramy łóżka, wykonany z mocnego plastiku. Element pasuje do profilu 30x40 czyli do wszystkich metalowych  stelaży firmy Moledo.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/3e8811413ff9a643154d6f5ffb55775c.jpg";"https://upload.cdn.baselinker.com/products/2000076/9ea3e62b73a884af9b5d18b5c6c2284f.jpg";"https://upload.cdn.baselinker.com/products/2000076/a751ffdc4b7699d6b14109952d5576f0.jpg";"https://upload.cdn.baselinker.com/products/2000076/6c26aa1df89002a10bc5fdabc85cb57f.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"50733660";"Narożnik metalowy do łóżka wspornik podpora pod stelaż";1000;"";"nar-met1";"Inne";10.00;23%;0.3;"Przedstawiamy nasz metalowy narożnik podtrzymującą stelaż jak i ramę łóżka.

Zwiększ stabilność i trwałość swojego łóżka dzięki naszemu  metalowemu narożnikowi. Ten wspornik narożny, zaprojektowany specjalnie do ram łóżek, jest niezbędnym dodatkiem zapewniającym solidną konstrukcję łóżka jak i mocny punkt podparcia dla stelaży drewnianych jak i metalowych.

Element wykonany jest z wysokiej jakości metalu, jest zbudowana tak, aby wytrzymać nacisk i duże obciążenia. Jego solidna konstrukcja zapewnia doskonałe wzmocnienie, które zapobiega krzywieniu się stolarki łóżka.

<div><br></div><div>Dane techniczne:&nbsp;</div><div><ul><li>Długość  125mm&nbsp;</li><li>Szerokość 125mm&nbsp;</li><li>Wysokość 50mm&nbsp;</li><li>Otwory Fi 10mm&nbsp;</li><li>Grubość Blachy 3mm <br></li><li>Czarny malowany proszkowo<br></li></ul></div>";"Ten wspornik narożny, zaprojektowany specjalnie do ram łóżek, jest niezbędnym dodatkiem zapewniającym solidną konstrukcję łóżka jak i mocny punkt podparcia dla stelaży drewnianych jak i metalowych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/d1ef64f2870eb6ffe01d3b7138fee686.jpg";"https://upload.cdn.baselinker.com/products/2000076/b60c5c75efcb4ca2235953281f3f2cc8.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50733661";"Narożniki metalowe do łóżka wspornik pod stelaż 4 sztuki";1000;"";"nar-met4";"Inne";45.00;23%;1.2;"Przedstawiamy nasz metalowy narożnik podtrzymującą stelaż jak i ramę łóżka.

Zwiększ stabilność i trwałość swojego łóżka dzięki naszemu metalowemu narożnikowi. Ten wspornik narożny, zaprojektowany specjalnie do ram łóżek, jest niezbędnym dodatkiem zapewniającym solidną konstrukcję łóżka jak i mocny punkt podparcia dla stelaży drewnianych jak i metalowych.

Element wykonany jest z wysokiej jakości metalu, jest zbudowana tak, aby wytrzymać nacisk i duże obciążenia. Jego solidna konstrukcja zapewnia doskonałe wzmocnienie, które zapobiega krzywieniu się stolarki łóżka.
<br><br> Zestaw 4 sztuk na kompletne łóżko.

<div><br></div><div><b>Dane techniczne: </b></div><div><ul><li>Długość  125mm </li><li>Szerokość 125mm </li><li>Wysokość 50mm </li><li>Otwory Fi 10mm </li><li>Grubość Blachy 3mm <br></li><li>Czarny malowany proszkowo</li><li>4 sztuki w zestawie<br></li></ul></div>";"Idealne rozwiązanie dla osób poszukujących solidnego wsparcia dla swojego łóżka. Metalowe narożniki, które prezentujemy, gwarantują nie tylko stabilność, ale i trwałość konstrukcji.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/028a14b83be79c6a95d67faf6d521624.jpg";"https://upload.cdn.baselinker.com/products/2000076/c3fee9d1019511768cd4585b8ada7c07.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735347";"Automat kątowy gazowy do podnoszenia stelaża 600 n";1000;"";"mgaz600";"Automaty";160.00;23%;6;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1> Automat  gazowy do podnoszenia łóżka / stelaża metalowego <br></h1><p>Automat z sprężynami gazowymi do podnoszenia materaca przystosowany do stelaży <b>metalowych.</b></p><p>Dzięki temu mechanizmowi będziesz mógł z łatwością otwierać oraz zamykać pojemnik na pościel. Mechanizm można stosować do otwierania czołowego jak i bocznego.</p><p><br></p><p><span style=""font-size: 14px;"">Cena dotyczy jednego kompletu, czyli 2 automatów stalowych , 2 siłowników gazowych 600n oraz kompletu śrub do przykręcenia automatu do stelaża.</span><br></p><br></section>
        </div>
        </section>";"Automat z wygiętą blachą górną dzięki której można wykorzystać je do różnego typu stelaży metalowych jak i tapicerskich czy łóżek kontynentalnych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/8541dfe736c6a50f5e569dc46f489e47.jpg";"https://upload.cdn.baselinker.com/products/2000076/a1475276d28544b39de296020e734170.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735348";"Automat kątowy gazowy do podnoszenia stelaża 1200 n";1000;"";"mgaz1200";"Automaty";199.00;23%;6;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1>&nbsp;Automat&nbsp; gazowy do podnoszenia łóżka / stelaża metalowego <br></h1><p>Automat z sprężynami gazowymi do podnoszenia materaca przystosowany do stelaży <b>metalowych</b> dostępnych na naszych aukcjach.</p><p>Dzięki temu mechanizmowi będziesz mógł z łatwością otwierać oraz zamykać pojemnik na pościel. Mechanizm można stosować do otwierania czołowego jak i bocznego.</p><p><br></p><p><span style=""font-size: 14px;"">Cena dotyczy jednego kompletu, czyli 2 automatów stalowych , 2 siłowników gazowych 1200n oraz kompletu śrub do przykręcenia automatu do stelaża.</span><br></p><br></section>
        </div>
        </section>";"Automat z wygiętą blachą górną dzięki której można wykorzystać je do różnego typu stelaży metalowych jak i tapicerskich czy łóżek kontynentalnych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/849f88fe2ccc447e09f4ca5ec1be33c2.jpg";"https://upload.cdn.baselinker.com/products/2000076/b2bb535acbec3f39705c8f45fba30db1.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735349";"Automat kątowy gazowy do podnoszenia stelaża 800 n";1000;"";"mgaz800";"Automaty";199.00;23%;6;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1> Automat  gazowy do podnoszenia łóżka / stelaża metalowego <br></h1><p>Automat z sprężynami gazowymi do podnoszenia materaca przystosowany do stelaży <b>metalowych</b> dostępnych na naszych aukcjach.</p><p>Dzięki temu mechanizmowi będziesz mógł z łatwością otwierać oraz zamykać pojemnik na pościel. Mechanizm można stosować do otwierania czołowego jak i bocznego.</p><p><br></p><p><span style=""font-size: 14px;"">Cena dotyczy jednego kompletu, czyli 2 automatów stalowych , 2 siłowników gazowych 800n oraz kompletu śrub do przykręcenia automatu do stelaża.</span><br></p><br></section>
        </div>
        </section>";"Automat z wygiętą blachą górną dzięki której można wykorzystać je do różnego typu stelaży metalowych jak i tapicerskich czy łóżek kontynentalnych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/ef1a162b62a4762124f6aa65577c5810.jpg";"https://upload.cdn.baselinker.com/products/2000076/210879ab33997153b9302ba5d7b91041.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735350";"Automat kątowy gazowy do podnoszenia stelaża 350 n";1000;"";"mgaz350";"Automaty";199.00;23%;6;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1> Automat  gazowy do podnoszenia łóżka / stelaża metalowego <br></h1><p>Automat z sprężynami gazowymi do podnoszenia materaca przystosowany do stelaży <b>metalowych</b> dostępnych na naszych aukcjach.</p><p>Dzięki temu mechanizmowi będziesz mógł z łatwością otwierać oraz zamykać pojemnik na pościel. Mechanizm można stosować do otwierania czołowego jak i bocznego.</p><br></section><section class=""text-item"">Cena dotyczy jednego kompletu, czyli 2 automatów stalowych , 2 siłowników gazowych 350n oraz kompletu śrub do przykręcenia automatu do stelaża.<br></section>
        </div>
        </section>";"Automat z wygiętą blachą górną dzięki której można wykorzystać je do różnego typu stelaży metalowych jak i tapicerskich czy łóżek kontynentalnych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/fecb6187bdeb8e8c409a5027f9861fbe.jpg";"https://upload.cdn.baselinker.com/products/2000076/351e47d987a29299a2fc24f7b18d8082.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735351";"Automat kątowy gazowy do podnoszenia stelaża 1000 n";1000;"";"mgaz1000";"Automaty";199.00;23%;6;"<section class=""section"">
        <div class=""item item-12"">
            <section class=""text-item"">
                <h1>&nbsp;Automat&nbsp; gazowy do podnoszenia łóżka / stelaża metalowego <br></h1><p>Automat z sprężynami gazowymi do podnoszenia materaca przystosowany do stelaży <b>metalowych</b> dostępnych na naszych aukcjach.</p><p>Dzięki temu mechanizmowi będziesz mógł z łatwością otwierać oraz zamykać pojemnik na pościel. Mechanizm można stosować do otwierania czołowego jak i bocznego.</p><br></section><section class=""text-item"">Cena dotyczy jednego kompletu, czyli 2 automatów stalowych , 2 siłowników gazowych 1000n oraz kompletu śrub do przykręcenia automatu do stelaża.<br></section>
        </div>
        </section>";"Automat z wygiętą blachą górną dzięki której można wykorzystać je do różnego typu stelaży metalowych jak i tapicerskich czy łóżek kontynentalnych.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/d548085c8ff0ad60767c46ef855c3e9f.jpg";"https://upload.cdn.baselinker.com/products/2000076/a4b54addb9355ebd770d0c3fcaf7ba42.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50735498";"Stelaż wkład rolowany pod materac 70x200";1000;"5905342269045";"Rol70-17";"Stelaże rolowane";85.00;23%;4.5;"Stelaż wkład pod materac wykonany jest z 17 listew  elastycznych sprężynujących, połączonych wytrzymałą taśmą które zapewniają odpowiednie podparcie dla materaca.
Produkt wykonany jest z wysokiej jakości sklejki brzozowej co zapewnia długi czas użytkowania. W zestawie stelaż zawiera elastyczne nakładki na listwy, aby w eliminować skrzypienie. <br><div><br></div><div>Stelaż montujemy za pomocą 6 wkrętów w odpowiednie miejsca aby zapewnić wygodę użytkowania.<br></div><div><br></div><div><div>&nbsp; &nbsp; &nbsp; Dane techniczne:<br></div><div><ul><li>Listwa 53mm x 8mm x&nbsp;<span style=""font-weight: 600; color: inherit;"">695</span>&nbsp;mm</li><li>&nbsp;Taśma 25mm</li><li>&nbsp;Odstępy między listwami&nbsp;<span style=""font-weight: 600; color: inherit;"">58</span>&nbsp;mm</li><li>&nbsp;Liczba listew 17</li><li>&nbsp;Wytrzymałość 200 kg</li></ul></div></div>";"Ten stelaż zapewnia niezrównaną stabilność i ergonomiczne podparcie dla materaca, gwarantując optymalne wsparcie i komfort podczas snu. Wykonany z 17 elastycznych, sprężynujących listew z wytrzymałą taśmą.";"";"";"";"https://upload.cdn.baselinker.com/products/2000076/f8d5942e7c90f5c0969b14b84db6e60a.jpg";"https://upload.cdn.baselinker.com/products/2000076/55ad9437b0b02273e1b13c2ffc8fb011.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
